,date,ticker,assets,book_equity,shares_rep,shares_outstanding,adj_close
6830,2020-03-31,PFBC,4727634000.0,473785000.0,-2321000.0,14920000.0,32.95812225341797
6831,2019-12-31,PFBC,4628481000.0,470015000.0,-8234000.0,14930000.0,58.26443099975586
6832,2020-09-30,ACU,123017000.0,60596000.0,,3339000.0,23.03000068664551
6833,2020-06-30,ACU,123536000.0,59007000.0,-73000.0,3336000.0,22.739948272705078
6834,2020-03-31,ACU,108122000.0,55824000.0,-214000.0,3340000.0,19.939453125
6835,2019-12-31,ACU,110748853.0,55704981.0,-214000.0,3351000.0,23.285816192626953
6836,2020-09-30,PRIM,1999502000.0,683486000.0,-3087000.0,48100000.0,18.040000915527344
6837,2020-06-30,PRIM,1953554000.0,644870000.0,-1027000.0,48220000.0,17.70313835144043
6838,2020-03-31,PRIM,1835103000.0,614413000.0,-7393000.0,48250000.0,15.791071891784668
6839,2019-12-31,PRIM,1830465000.0,628502000.0,-50000000.0,48670000.0,21.99391365051269
6840,2020-11-01,CULP,202776000.0,127251000.0,-25000.0,12300000.0,
6841,2020-08-02,CULP,184587000.0,125869000.0,-25000.0,12290000.0,
6842,2020-05-03,CULP,215084000.0,129698000.0,-25000.0,12280000.0,
6843,2020-02-02,CULP,210340000.0,159843000.0,-728000.0,12360000.0,
6844,2020-09-30,FARO,451726000.0,313330000.0,-159000.0,17830000.0,60.97999954223633
6845,2020-06-30,FARO,453307000.0,308561000.0,-828000.0,17770000.0,53.599998474121094
6846,2020-03-31,FARO,470049000.0,316790000.0,-1581000.0,17720000.0,44.5
6847,2019-12-31,FARO,486842000.0,331992000.0,-810000.0,17580000.0,50.349998474121094
6848,2020-10-03,CNR,5474981000.0,420290000.0,-11000.0,125100000.0,
6849,2020-07-04,CNR,5337845000.0,378212000.0,-6568000.0,125100000.0,
6850,2020-04-04,CNR,5392429000.0,347888000.0,-327000.0,126140000.0,
6851,2019-12-31,CNR,5564346000.0,935318000.0,-1703000.0,126050000.0,8.510000228881836
6852,2020-09-30,BPOP,65910369000.0,5889942000.0,-185000.0,84220000.0,36.27000045776367
6853,2020-06-30,BPOP,62845352000.0,5758022000.0,-681000.0,84180000.0,36.773624420166016
6854,2020-03-31,BPOP,52803639000.0,5647462000.0,-502801000.0,88130000.0,34.27602767944336
6855,2019-12-31,BPOP,52115324000.0,5966619000.0,-6000.0,95590000.0,56.75436019897461
6856,2020-09-30,MMI,696125000.0,521034000.0,-66000.0,39380000.0,27.520000457763672
6857,2020-06-30,MMI,670815000.0,512913000.0,-200000.0,39330000.0,28.86000061035156
6858,2020-03-31,MMI,670329000.0,509292000.0,-1689000.0,39270000.0,27.10000038146973
6859,2019-12-31,MMI,709034000.0,494907000.0,-41000.0,39150000.0,37.25
6860,2020-09-30,ZNGA,5151247000.0,2813386000.0,-13828000.0,1079000000.0,9.119999885559082
6861,2020-06-30,ZNGA,3683602000.0,1736233000.0,-14270000.0,958870000.0,9.539999961853027
6862,2020-03-31,ZNGA,3542421000.0,1855579000.0,-14836000.0,955830000.0,6.849999904632568
6863,2019-12-31,ZNGA,3660614000.0,1975430000.0,-11163000.0,950040000.0,6.119999885559082
6864,2020-09-30,RSG,23110100000.0,8370100000.0,,318500000.0,93.3499984741211
6865,2020-06-30,RSG,22826300000.0,8227100000.0,,318200000.0,81.67871856689453
6866,2020-03-31,RSG,22908900000.0,8117200000.0,-98800000.0,318100000.0,74.34716033935547
6867,2019-12-31,RSG,22683800000.0,8118200000.0,-45600000.0,318800000.0,88.3096923828125
6868,2020-09-30,NOG,1025524000.0,-83733000.0,,45560000.0,5.739999771118164
6869,2020-06-30,NOG,1263273000.0,140727000.0,-8000.0,43640000.0,8.399999618530272
6870,2020-03-31,NOG,2237386000.0,1009005000.0,-396000.0,40580000.0,6.599999904632568
6871,2019-12-31,NOG,1905465000.0,558641000.0,-76000.0,40610000.0,23.399999618530273
6872,2020-09-30,KFS,394332000.0,5710000.0,,22210000.0,2.9500000476837163
6873,2020-06-30,KFS,394611000.0,9948000.0,,22210000.0,2.240000009536743
6874,2020-03-31,KFS,395089000.0,12457000.0,-83000.0,22210000.0,1.9800000190734863
6875,2019-12-31,KFS,399623000.0,874000.0,-83000.0,21870000.0,1.8600000143051147
6876,2020-09-30,ASRT,332797000.0,75950000.0,,107170000.0,0.6700000166893005
6877,2020-06-30,ASRT,345724000.0,84978000.0,-569000.0,107090000.0,0.8600000143051147
6878,2020-03-31,ASRT,219274000.0,84037000.0,-272000.0,81320000.0,0.6499999761581421
6879,2019-12-31,ASRT,527170000.0,57958000.0,-42000.0,80890000.0,1.25
6880,2020-10-31,GIII,2469416000.0,1310267000.0,,48360000.0,
6881,2020-07-31,GIII,2269814000.0,1237749000.0,-11000.0,48360000.0,9.890000343322754
6882,2020-04-30,GIII,2798961000.0,1246234000.0,-306000.0,46710000.0,11.329999923706055
6883,2020-01-31,GIII,2565137000.0,1290672000.0,-3873000.0,48010000.0,27.209999084472656
6884,2020-09-30,STXB,2925070000.0,351521000.0,-756000.0,17320000.0,11.100996971130373
6885,2020-06-30,STXB,2963018000.0,347577000.0,-6684000.0,17970000.0,12.244917869567873
6886,2020-03-31,STXB,2544497000.0,345817000.0,-4805000.0,17970000.0,10.285332679748537
6887,2019-12-31,STXB,2384622000.0,345705000.0,-91000.0,18260000.0,22.878398895263672
6888,2020-09-30,FIBK,17069500000.0,1977600000.0,-46300000.0,63110000.0,31.4925594329834
6889,2020-06-30,FIBK,16471400000.0,1998900000.0,-46300000.0,64560000.0,30.26572036743164
6890,2020-03-31,FIBK,14411400000.0,1956100000.0,-32600000.0,64550000.0,27.881732940673828
6891,2019-12-31,FIBK,14644200000.0,2013900000.0,-32600000.0,65250000.0,39.50691604614258
6892,2020-09-30,PRI,14300530000.0,1720446000.0,-41556000.0,39370000.0,112.79133605957031
6893,2020-06-30,PRI,13964549000.0,1642680000.0,-86512000.0,39670000.0,115.88468170166016
6894,2020-03-31,PRI,13270911000.0,1530114000.0,-95677000.0,40460000.0,87.60858917236328
