,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
2,TMO,2020-03-28,952000000,2020-03-28,58688000000.0,2020-03-28,28559000000.0,2020-03-28,-1500000000.0
3,TMO,2019-12-31,1274000000,2019-12-31,58381000000.0,2019-12-31,29675000000.0,2019-12-31,-750000000.0
0,ENPH,2020-09-30,51759000,2020-09-30,1092340000.0,2020-09-30,416206000.0,2020-09-30,-8528000.0
1,ENPH,2020-06-30,10854000,2020-06-30,997927000.0,2020-06-30,370176000.0,2020-06-30,-9385000.0
2,ENPH,2020-03-31,44712000,2020-03-31,1030787000.0,2020-03-31,316207000.0,2020-03-31,-34267000.0
3,ENPH,2019-12-31,45573000,2019-12-31,713223000.0,2019-12-31,272212000.0,2019-12-31,-3760000.0
0,WU,2020-09-30,291400000,2020-09-30,8827200000.0,2020-09-30,67100000.0,2020-09-30,-300000.0
1,WU,2020-06-30,223900000,2020-06-30,8707000000.0,2020-06-30,-73400000.0,2020-06-30,-600000.0
2,WU,2020-03-31,240700000,2020-03-31,8365400000.0,2020-03-31,-149700000.0,2020-03-31,-237100000.0
3,WU,2019-12-31,240400000,2019-12-31,8758500000.0,2019-12-31,-39500000.0,2019-12-31,-68800000.0
0,FCRD,2020-09-30,5925000,2020-09-30,366608000.0,2020-09-30,188092000.0,2020-09-30,-19664000.0
1,FCRD,2020-06-30,4857000,2020-06-30,376920000.0,2020-06-30,195518000.0,2020-06-30,-19664000.0
2,FCRD,2020-03-31,6067000,2020-03-31,351784000.0,2020-03-31,154905000.0,2020-03-31,-2161000.0
3,FCRD,2019-12-31,8065000,2019-12-31,411898000.0,2019-12-31,229455000.0,2019-12-31,-3845000.0
0,LHCG,2020-09-30,63975000,2020-09-30,2456336000.0,2020-09-30,1494648000.0,2020-09-30,-1252000.0
1,LHCG,2020-06-30,30034000,2020-06-30,2357099000.0,2020-06-30,1477245000.0,2020-06-30,-1538000.0
2,LHCG,2020-03-31,33803000,2020-03-31,2212282000.0,2020-03-31,1430236000.0,2020-03-31,-7064000.0
3,LHCG,2019-12-31,32642000,2019-12-31,2140295000.0,2019-12-31,1413323000.0,2019-12-31,-1265000.0
0,SRGA,2020-09-30,-9557000,2020-09-30,168344000.0,2020-09-30,110876000.0,2020-09-30,
1,SRGA,2020-06-30,0,2020-06-30,331813000.0,2020-06-30,-19884000.0,2020-06-30,
2,SRGA,2020-03-31,-5604000,2020-03-31,345070000.0,2020-03-31,17424000.0,2020-03-31,-193000.0
3,SRGA,2019-12-31,-8614000,2019-12-31,344509000.0,2019-12-31,34564000.0,2019-12-31,-273000.0
0,APAM,2020-09-30,97245000,2020-09-30,1082539000.0,2020-09-30,145324000.0,2020-09-30,
