,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
0,UNH,2020-12-31,3517000000,2020-12-31,197289000000.0,2020-12-31,68328000000.0,2020-12-31,-2915000000.0
1,UNH,2020-09-30,4651000000,2020-09-30,190969000000.0,2020-09-30,65231000000.0,2020-09-30,-850000000.0
2,UNH,2020-06-30,9241000000,2020-06-30,192483000000.0,2020-06-30,63624000000.0,2020-06-30,-850000000.0
3,UNH,2020-03-31,4996000000,2020-03-31,189067000000.0,2020-03-31,56977000000.0,2020-03-31,-1691000000.0
0,SGMO,2020-09-30,-3701000,2020-09-30,963710000.0,2020-09-30,521411000.0,2020-09-30,-118000.0
1,SGMO,2020-06-30,-37897000,2020-06-30,894659000.0,2020-06-30,511457000.0,2020-06-30,-44000.0
2,SGMO,2020-03-31,-44522000,2020-03-31,584276000.0,2020-03-31,394291000.0,2020-03-31,-411000.0
3,SGMO,2019-12-31,1469000,2019-12-31,637516000.0,2019-12-31,432554000.0,2019-12-31,-34000.0
0,MNR,2020-09-30,21051000,2020-09-30,1939783000.0,2020-09-30,565611000.0,2020-09-30,
1,MNR,2020-06-30,20479000,2020-06-30,1931425000.0,2020-06-30,589935000.0,2020-06-30,-1067000.0
2,MNR,2020-03-31,20407000,2020-03-31,1890048000.0,2020-03-31,579628000.0,2020-03-31,-3209000.0
3,MNR,2019-12-31,20017000,2019-12-31,1947127000.0,2019-12-31,665866000.0,2019-12-31,-3209000.0
0,LYB,2020-09-30,591000000,2020-09-30,31949000000.0,2020-09-30,7306000000.0,2020-09-30,
1,LYB,2020-06-30,325000000,2020-06-30,31541000000.0,2020-06-30,7358000000.0,2020-06-30,
2,LYB,2020-03-31,304000000,2020-03-31,31100000000.0,2020-03-31,7324000000.0,2020-03-31,-4000000.0
3,LYB,2019-12-31,859000000,2019-12-31,30435000000.0,2019-12-31,8044000000.0,2019-12-31,-4000000.0
0,ATRO,2020-09-26,-9387000,2020-09-26,637461000.0,2020-09-26,289846000.0,2020-09-26,-1000.0
1,ATRO,2020-06-27,-1661000,2020-06-27,658526000.0,2020-06-27,292359000.0,2020-06-27,-1000.0
2,ATRO,2020-03-28,7167000,2020-03-28,850026000.0,2020-03-28,313809000.0,2020-03-28,-7732000.0
3,ATRO,2019-12-31,7699000,2019-12-31,782716000.0,2019-12-31,388857000.0,2019-12-31,-1207000.0
0,CRTO,2020-09-30,20344000,2020-09-30,1843368000.0,2020-09-30,1028820000.0,2020-09-30,-10554000.0
1,CRTO,2020-06-30,11005000,2020-06-30,1804402000.0,2020-06-30,1002682000.0,2020-06-30,-14860000.0
2,CRTO,2020-03-31,29311000,2020-03-31,1675889000.0,2020-03-31,995031000.0,2020-03-31,-18241000.0
3,CRTO,2019-12-31,76338000,2019-12-31,1790384000.0,2019-12-31,1007267000.0,2019-12-31,-40985000.0
0,IDXG,2020-09-30,-6005000,2020-09-30,50701000.0,2020-09-30,-21798000.0,2020-09-30,
1,IDXG,2020-06-30,-5972000,2020-06-30,60611000.0,2020-06-30,-16127000.0,2020-06-30,
2,IDXG,2020-03-31,-6121000,2020-03-31,78511000.0,2020-03-31,6838000.0,2020-03-31,
3,IDXG,2019-12-31,-10879000,2019-12-31,69051000.0,2019-12-31,13026000.0,2019-12-31,-9000.0
0,TDC,2020-09-30,13000000,2020-09-30,2117000000.0,2020-09-30,384000000.0,2020-09-30,
1,TDC,2020-06-30,12000000,2020-06-30,2102000000.0,2020-06-30,346000000.0,2020-06-30,-2000000.0
2,TDC,2020-03-31,-6000000,2020-03-31,2151000000.0,2020-03-31,349000000.0,2020-03-31,-73000000.0
3,TDC,2019-12-31,-13000000,2019-12-31,2057000000.0,2019-12-31,262000000.0,2019-12-31,-61000000.0
0,MRCY,2020-10-02,21867000,2020-10-02,1653182000.0,2020-10-02,1407892000.0,2020-10-02,-66000.0
1,MRCY,2020-07-03,27037000,2020-07-03,1610720000.0,2020-07-03,1384784000.0,2020-07-03,-566000.0
2,MRCY,2020-03-27,27119000,2020-03-27,1771640000.0,2020-03-27,1349433000.0,2020-03-27,-746000.0
3,MRCY,2019-12-27,23650000,2019-12-27,1512620000.0,2019-12-27,1317056000.0,2019-12-27,-375000.0
0,NUAN,2020-09-30,14964000,2020-09-30,3593332000.0,2020-09-30,1143933000.0,2020-09-30,-14087000.0
1,NUAN,2020-06-30,25118000,2020-06-30,3546086000.0,2020-06-30,1150329000.0,2020-06-30,-3480000.0
2,NUAN,2020-03-31,33114000,2020-03-31,3756750000.0,2020-03-31,1115717000.0,2020-03-31,-83304000.0
3,NUAN,2019-12-31,59956000,2019-12-31,3785737000.0,2019-12-31,1240519000.0,2019-12-31,-122402000.0
0,STNG,2020-09-30,13501000,2020-09-30,5256329000.0,2020-09-30,2141455000.0,2020-09-30,-13115000.0
1,STNG,2020-06-30,183117000,2020-06-30,5349200000.0,2020-06-30,2173740000.0,2020-06-30,-13115000.0
2,STNG,2020-03-31,91185000,2020-03-31,5267142000.0,2020-03-31,2025593000.0,2020-03-31,-13115000.0
3,STNG,2019-12-31,58856000,2019-12-31,5164010000.0,2019-12-31,1976989000.0,2019-12-31,-13115000.0
0,CDEV,2020-09-30,-33397000,2020-09-30,3923036000.0,2020-09-30,2687823000.0,2020-09-30,-297000.0
1,CDEV,2020-06-30,-119051000,2020-06-30,4020886000.0,2020-06-30,2734543000.0,2020-06-30,-93000.0
2,CDEV,2020-03-31,-617324000,2020-03-31,4106250000.0,2020-03-31,2716568000.0,2020-03-31,-208000.0
3,CDEV,2019-12-31,27378000,2019-12-31,4688288000.0,2019-12-31,3258120000.0,2019-12-31,-127000.0
0,HCA,2020-09-30,2141000000,2020-09-30,51016000000.0,2020-09-30,-974000000.0,2020-09-30,
1,HCA,2020-06-30,1152000000,2020-06-30,48709000000.0,2020-06-30,-1786000000.0,2020-06-30,
2,HCA,2020-03-31,1519000000,2020-03-31,45421000000.0,2020-03-31,-2962000000.0,2020-03-31,-441000000.0
3,HCA,2019-12-31,2024000000,2019-12-31,45058000000.0,2019-12-31,-2808000000.0,2019-12-31,-272000000.0
0,FHB,2020-12-31,0,2020-12-31,22662831000.0,2020-12-31,2744104000.0,2020-12-31,
1,FHB,2020-09-30,0,2020-09-30,22310701000.0,2020-09-30,2733934000.0,2020-09-30,-84000.0
2,FHB,2020-06-30,0,2020-06-30,22993715000.0,2020-06-30,2701897000.0,2020-06-30,-157000.0
3,FHB,2020-03-31,0,2020-03-31,20755891000.0,2020-03-31,2664685000.0,2020-03-31,-6504000.0
0,PROV,2020-09-30,0,2020-09-30,1184033000.0,2020-09-30,124659000.0,2020-09-30,-60000.0
1,PROV,2020-06-30,0,2020-06-30,1176837000.0,2020-06-30,123976000.0,2020-06-30,-60000.0
2,PROV,2020-03-31,0,2020-03-31,1107567000.0,2020-03-31,123158000.0,2020-03-31,-887000.0
3,PROV,2019-12-31,0,2019-12-31,1107387000.0,2019-12-31,123776000.0,2019-12-31,-56000.0
0,MOXC,2020-09-30,78398,2020-09-30,2295657.0,2020-09-30,400773.0,2020-09-30,-638896.0
1,MOXC,2020-06-30,-84511,2020-06-30,630563.0,2020-06-30,147999.0,2020-06-30,-638896.0
2,MOXC,2020-03-31,-147721,2020-03-31,1495992.0,2020-03-31,156633.0,2020-03-31,-638896.0
3,MOXC,2019-12-31,224418,2019-12-31,1741770.0,2019-12-31,345603.0,2019-12-31,-638896.0
0,FAST,2020-12-31,264100000,2020-12-31,3964700000.0,2020-12-31,2733200000.0,2020-12-31,
1,FAST,2020-09-30,289100000,2020-09-30,4108600000.0,2020-09-30,2885600000.0,2020-09-30,
2,FAST,2020-06-30,316300000,2020-06-30,4085200000.0,2020-06-30,2783000000.0,2020-06-30,
3,FAST,2020-03-31,270900000,2020-03-31,3934700000.0,2020-03-31,2656600000.0,2020-03-31,-52000000.0
0,PZZA,2020-09-27,24549000,2020-09-27,816675000.0,2020-09-27,-288260000.0,2020-09-27,-86000.0
1,PZZA,2020-06-28,30534000,2020-06-28,757737000.0,2020-06-28,-307572000.0,2020-06-28,-196000.0
2,PZZA,2020-03-29,15472000,2020-03-29,718268000.0,2020-03-29,-342309000.0,2020-03-29,-1383000.0
3,PZZA,2019-12-29,16620000,2019-12-29,730721000.0,2019-12-29,-332321000.0,2019-12-29,-283000.0
0,VSH,2020-10-03,58024000,2020-10-03,3033833000.0,2020-10-03,1536645000.0,2020-10-03,
1,VSH,2020-07-04,38656000,2020-07-04,3024846000.0,2020-07-04,1496377000.0,2020-07-04,-25000.0
2,VSH,2020-04-04,47787000,2020-04-04,3116504000.0,2020-04-04,1467121000.0,2020-04-04,-1991000.0
3,VSH,2019-12-31,37057000,2019-12-31,3120775000.0,2019-12-31,1485149000.0,2019-12-31,-1991000.0
0,HJLI,2020-09-30,-1922287,2020-09-30,7042681.0,2020-09-30,4794919.0,2020-09-30,
1,HJLI,2020-06-30,-1545908,2020-06-30,3733384.0,2020-06-30,369445.0,2020-06-30,
2,HJLI,2020-03-31,-1508520,2020-03-31,2769717.0,2020-03-31,-14623.0,2020-03-31,
3,HJLI,2019-12-31,-1710166,2019-12-31,3434200.0,2019-12-31,989940.0,2019-12-31,-935784.0
0,MRSN,2020-09-30,-22416000,2020-09-30,290128000.0,2020-09-30,253308000.0,2020-09-30,-3000.0
