,endDate,totalAssets,ticker
512,2020-06-30,363038000.0,VCRA
513,2020-03-31,358459000.0,VCRA
514,2019-12-31,370455000.0,VCRA
515,2020-09-30,41636000.0,LIFE
516,2020-06-30,47562000.0,LIFE
517,2020-03-31,54447000.0,LIFE
518,2019-12-31,36188000.0,LIFE
519,2020-06-30,908854000.0,CAN
520,2020-03-31,974162000.0,CAN
521,2019-12-31,991426000.0,CAN
522,2019-09-30,1596091000.0,CAN
523,2020-09-30,15352000000.0,XRX
524,2020-06-30,14125000000.0,XRX
525,2020-03-31,14784000000.0,XRX
526,2019-12-31,15047000000.0,XRX
527,2020-09-30,2047407000.0,IDXX
528,2020-06-30,1960713000.0,IDXX
529,2020-03-31,1886245000.0,IDXX
530,2019-12-31,1832475000.0,IDXX
531,2020-09-30,56410000000.0,FTS
532,2020-06-30,56205000000.0,FTS
533,2020-03-31,57019000000.0,FTS
534,2019-12-31,53404000000.0,FTS
535,2020-09-30,6359463000.0,LADR
536,2020-06-30,6609550000.0,LADR
537,2020-03-31,7331872000.0,LADR
538,2019-12-31,6669152000.0,LADR
539,2020-09-30,16347076000.0,CBRE
540,2020-06-30,15700414000.0,CBRE
541,2020-03-31,15680264000.0,CBRE
542,2019-12-31,16197196000.0,CBRE
543,2020-11-01,66919000000.0,HD
544,2020-08-02,63349000000.0,HD
545,2020-05-03,58737000000.0,HD
546,2020-02-02,51236000000.0,HD
547,2020-09-30,1433170000.0,SOGO
548,2020-06-30,1555796000.0,SOGO
549,2020-03-31,1549288000.0,SOGO
550,2019-12-31,1522402000.0,SOGO
551,2020-09-30,120153000.0,AXLA
552,2020-06-30,124548000.0,AXLA
553,2020-03-31,77582000.0,AXLA
554,2019-12-31,94359000.0,AXLA
555,2020-09-30,48838000.0,MLND
556,2020-06-30,57132000.0,MLND
557,2020-03-31,68045000.0,MLND
558,2019-12-31,74970000.0,MLND
559,2020-09-30,3826000000.0,APG
560,2020-06-30,3770000000.0,APG
561,2020-03-31,3886000000.0,APG
562,2019-09-30,,APG
563,2020-09-30,157040000.0,SPRO
564,2020-06-30,97545000.0,SPRO
565,2020-03-31,109894000.0,SPRO
566,2019-12-31,106103000.0,SPRO
567,2020-09-30,181582941000.0,EBR
568,2020-06-30,184100486000.0,EBR
569,2020-03-31,178687500000.0,EBR
570,2019-12-31,177466715000.0,EBR
571,2020-09-30,11485000.0,SNBP
572,2020-06-30,3322000.0,SNBP
573,2020-03-31,2136000.0,SNBP
574,2019-12-31,3144000.0,SNBP
575,2020-09-30,6909900000.0,KAR
576,2020-06-30,6494000000.0,KAR
577,2020-03-31,5999700000.0,KAR
578,2019-12-31,6581200000.0,KAR
579,2020-09-30,227004000.0,SNDL
580,2020-06-30,302562000.0,SNDL
581,2020-03-31,479391000.0,SNDL
582,2019-12-31,510036000.0,SNDL
583,2020-09-30,155497000.0,TUFN
584,2020-06-30,160362000.0,TUFN
585,2020-03-31,170379000.0,TUFN
586,2019-12-31,176732000.0,TUFN
587,2020-09-30,28579866.0,UAVS
588,2020-06-30,17130141.0,UAVS
589,2020-03-31,4255646.0,UAVS
590,2019-12-31,4795509.0,UAVS
591,2020-09-30,23764485.0,PLAG
592,2020-06-30,26892587.0,PLAG
593,2020-03-31,26707063.0,PLAG
594,2019-12-31,25898098.0,PLAG
595,2020-09-30,22959215000.0,BXP
596,2020-06-30,23000777000.0,BXP
597,2020-03-31,21829698000.0,BXP
598,2019-12-31,21284905000.0,BXP
599,2020-09-30,12020931000.0,BIO
600,2020-06-30,10097307000.0,BIO
601,2020-03-31,8684359000.0,BIO
602,2019-12-31,8008859000.0,BIO
603,2020-09-30,20497173000000.0,HMC
604,2020-06-30,20111734000000.0,HMC
605,2020-03-31,20461465000000.0,HMC
606,2019-12-31,20488706000000.0,HMC
607,2020-09-26,2339364000.0,CENT
608,2020-06-27,2263969000.0,CENT
609,2020-03-28,2167407000.0,CENT
610,2019-12-28,2135157000.0,CENT
611,2020-09-30,11755897.0,GOVX
612,2020-06-30,957943.0,GOVX
613,2020-03-31,830833.0,GOVX
614,2019-12-31,468880.0,GOVX
615,2020-09-30,596890000.0,NTUS
616,2020-06-30,620806000.0,NTUS
617,2020-03-31,647470000.0,NTUS
618,2019-12-31,622527000.0,NTUS
619,2020-09-30,6566733000.0,EBSB
620,2020-06-30,6417970000.0,EBSB
621,2020-03-31,6348554000.0,EBSB
622,2019-12-31,6343694000.0,EBSB
623,2020-09-30,481675000.0,OFS
624,2020-06-30,475442000.0,OFS
